,-1085.6939503914625,99.6339008875917
2007/06/05/afternoon,Infinity,Infinity
2007/06/06/morning,7612.187064244281,174840.90310531517
2007/06/06/afternoon,128.9549154957035,274.87358238890744
2007/06/07/morning,69.24642988650369,54.55974442785018
2007/06/07/afternoon,Infinity,Infinity
2007/06/08/morning,15.572859876322696,-127.96138574620234
2007/06/08/afternoon,-657.6903413654718,-1015.5055710447344
2007/06/11/morning,58.44478435357996,-376.50344224761966
2007/06/11/afternoon,59.56828087566464,-2.6548961027372115
2007/06/12/morning,Infinity,Infinity
2007/06/12/afternoon,-997.4575739227312,-1558.9044437734206
2007/06/13/morning,-610.7503997371466,-621.8146157613228
2007/06/13/afternoon,-398.8834751494894,58.26571051919882
2007/06/14/morning,-1264.8358876474929,64.47841331853749
2007/06/14/afternoon,77.46645278528312,236.01669452125915
2007/06/15/morning,461.87268033131886,321.7483718110508
2007/06/15/afternoon,-876.8546150191133,60.21757944553838
2007/06/18/morning,-1642.4650308075209,-1440.778805432033
2007/06/18/afternoon,-791.9446117476733,55.20073913613305
2007/06/19/morning,-2530.578517814249,-1894.5725216994408
2007/06/19/afternoon,-3774.216714430333,93.17306194805133
2007/06/20/morning,Infinity,Infinity
2007/06/20/afternoon,67.5311711967961,-1045.6487239585376
2007/06/21/morning,Infinity,Infinity
2007/06/21/afternoon,-2099.5281388169783,-1080.9281371548589
2007/06/22/morning,34.849102127279366,-195.05285350678201
2007/06/22/afternoon,-148.81838493357708,38.10180484601733
2007/06/25/morning,-833.3836104234897,-859.939045550405
2007/06/25/afternoon,-1053.714753050832,-518.9903963823806
2007/06/26/morning,25.381895148884723,-246.3194574680012
2007/06/26/afternoon,-904.2722734166751,-1294.9433971891635
2007/06/27/morning,-903.1824454078867,-544.9550661894114
2007/06/27/afternoon,Infinity,Infinity
2007/06/28/morning,-395.77048826545615,48.49451783536006
2007/06/28/afternoon,-1137.5320627072583,91.48000685930401
2007/06/29/morning,Infinity,Infinity
2007/06/29/afternoon,-556.0976212781837,33.236701693977466
2007/07/02/morning,-1691.542913529442,-632.7918185482617
2007/07/02/afternoon,Infinity,Infinity
2007/07/03/morning,194.99359388625635,-2106.526290813433
2007/07/03/afternoon,-2938.3423584387488,-2175.1906230141994
2007/07/04/morning,-1112.9620925135303,-3224.173064557443
2007/07/04/afternoon,80.61246103011945,-2136.947986261813
2007/07/05/morning,Infinity,Infinity
2007/07/05/afternoon,Infinity,Infinity
2007/07/06/morning,Infinity,Infinity
2007/07/06/afternoon,Infinity,Infinity
2007/07/09/morning,189.3117613306449,74488.28722789568
2007/07/09/afternoon,-4351.714815621474,-6188.768658488464
2007/07/10/morning,-4266.794888580871,-1875.5779960783257
2007/07/10/afternoon,-807.2674517321184 - 2.4578981994173622*^70*NIntegrate[(E^(-2.99635416666667*t - 3.34395833333333*x)*BesselI[33, 2.996330220731134*t]*BesselI[1446, 3.3257662611732526*x])/x, {t, 0, Infinity}, {x, 0, t}],10121.190281769028
2007/07/11/morning,39.93843555742387,-700.1635983795722
2007/07/11/afternoon,-2433.5922159564784,-4833.693245584467
2007/07/12/morning,-592.5257715669206,74.30739300257392
2007/07/12/afternoon,Infinity,Infinity
2007/07/13/morning,Infinity,Infinity
2007/07/13/afternoon,-1591.6245686470284,-1745.9417967257991
2007/07/17/morning,53.25299862700194,-158.2784932447118
2007/07/17/afternoon,-2785.4034162698144,-3191.24514727631
2007/07/18/morning,Infinity,Infinity
2007/07/18/afternoon,-1076.7565186605616,-1788.3371155514296
2007/07/19/morning,84.82655958420673,-273.4596287756037
2007/07/19/afternoon,-434.4372713941798,57.99431645051982
2007/07/20/morning,-118.48816520207723,30.751219415293235
2007/07/20/afternoon,151.54477901340397,-1107.4870914008236
2007/07/23/morning,-1801.9200813715752,-358.5994421833469
2007/07/23/afternoon,-1885.395381630345,-2729.04051601636
2007/07/24/morning,-3039.203935638609,-271.46146179283124
2007/07/24/afternoon,3528.2352135367255,62885.52532254704
2007/07/25/morning,-514.2714643716417,-774.4812728860971
2007/07/25/afternoon,-409.3938471862171,49.68864578335342
2007/07/26/morning,-738.9676047588857,-814.7022369808765
2007/07/26/afternoon,-1313.1628275576481,-287.774961338039
2007/07/27/morning,-209.481756585225,-478.40282823769974
2007/07/27/afternoon,-389.8346710532052,-278.85375353128654
2007/07/30/morning,-301.64579586922963,-451.1543037455484
2007/07/30/afternoon,-19.283716024353907,18.814630275539457
2007/07/31/morning,-1071.7669206997602,-324.0339492500241
2007/07/31/afternoon,-858.970414997908,-885.2123201456145
2007/08/01/morning,-385.25033657429873,-257.72443609961834
2007/08/01/afternoon,10.07367858878024,-62.11842074895478
2007/08/02/morning,-223.03116856872285,-229.47612536140642
2007/08/02/afternoon,-104.06535823472716,-185.79074281492097
2007/08/03/morning,-321.10658954292984,-253.84793538665167
2007/08/03/afternoon,-285.8791023139791,-192.05369329215426
