,243.00007418257817,116.86798962260964
2007/05/31/morning,54.27811968137873,23.02512254573709
2007/05/31/afternoon,76.64202589560294,51.8642413163482
2007/06/01/morning,180.91846264482592,133.25449535713634
2007/06/01/afternoon,122.60888436975614,190.81321059153333
2007/06/04/morning,Infinity,Infinity
2007/06/04/afternoon,100.05062911386335,184.09341704232165
2007/06/05/morning,Infinity,Infinity
2007/06/05/afternoon,Infinity,Infinity
2007/06/06/morning,173.68645054919034,437.99808920203225
2007/06/06/afternoon,131.06838320880843,178.12505529301086
2007/06/07/morning,77.55638222808699,65.4899915173448
2007/06/07/afternoon,Infinity,Infinity
2007/06/08/morning,17.303841814807942,44.37989802776865
2007/06/08/afternoon,96.30639918910465,67.67281776303611
2007/06/11/morning,69.98378844403626,203.61262705034235
2007/06/11/afternoon,122.12224173025561,289.8830783376195
2007/06/12/morning,Infinity,Infinity
2007/06/12/afternoon,149.133979448808,68.43717474336616
2007/06/13/morning,72.88512392216711,58.85894619908792
2007/06/13/afternoon,186.82410499532784,59.24769285539056
2007/06/14/morning,56.50726405978899,80.2897625003019
2007/06/14/afternoon,100.45604199249829,273.5182836432558
2007/06/15/morning,471.9462223785347,343.67213251656267
2007/06/15/afternoon,189.1088585896152,66.94369310320938
2007/06/18/morning,123.27749272245867,94.85099041533589
2007/06/18/afternoon,253.32797645649833,61.37982291782334
2007/06/19/morning,91.90616627302964,71.12186139003882
2007/06/19/afternoon,555.964863339244,121.51495141483353
2007/06/20/morning,Infinity,Infinity
2007/06/20/afternoon,79.43116897565605,180.9520604184006
2007/06/21/morning,Infinity,Infinity
2007/06/21/afternoon,108.41304842668804,234.2914854583781
2007/06/22/morning,41.02582170132325,150.9234196238201
2007/06/22/afternoon,205.8021873776347,41.41741020743409
2007/06/25/morning,95.15282956007893,79.90795174671456
2007/06/25/afternoon,62.174720163521755,90.47692570752046
2007/06/26/morning,28.213113234619513,135.7631310275532
2007/06/26/afternoon,87.10924242983958,100.4589649954672
2007/06/27/morning,41.962460829706195,119.19189271819751
2007/06/27/afternoon,Infinity,Infinity
2007/06/28/morning,138.20467824513827,56.991824282762074
2007/06/28/afternoon,153.15276818933188,107.63209956040193
2007/06/29/morning,Infinity,Infinity
2007/06/29/afternoon,118.14466190855508,35.91973843749099
2007/07/02/morning,93.93312946036076,155.14744072800787
2007/07/02/afternoon,Infinity,Infinity
2007/07/03/morning,207.19531709664034,331.26935153852804
2007/07/03/afternoon,183.9161412116937,158.75307821457417
2007/07/04/morning,108.19257090003185,31.34961339585178
