date,E,continuoustime,movfreq_model,movefreq_real
2007/11/14/afternoon,101.6919441,9600,94,144
2007/11/15/morning,53.40925963,7200,134,138
2007/11/15/afternoon,120.0010229,9600,79,234
2007/11/16/morning,25.25464615,7140,282,214
2007/11/16/afternoon,68.25455403,9570,140,229
2007/11/19/morning,25.13144926,7200,286,166
2007/11/19/afternoon,39.1031779,9600,245,308
2007/11/20/morning,26.81446298,7140,266,223
2007/11/20/afternoon,1497.529418,9600,6,415
2007/11/21/morning,27.2261713,7170,263,285
2007/11/21/afternoon,20.28658515,9600,473,509
2007/11/22/morning,13.83083585,7170,518,411
2007/11/22/afternoon,21.85538733,9570,437,438
2007/11/26/morning,53.84717913,7144,132,168
2007/11/26/afternoon,35.87150741,9570,266,306
2007/11/27/morning,32.30588325,7080,219,167
2007/11/27/afternoon,21.34702321,9480,444,650
2007/11/28/morning,39.38173208,7200,182,164
2007/11/28/afternoon,35.98972697,9600,266,217
2007/11/29/morning,33.30325831,7080,212,168
2007/11/29/afternoon,52.07297853,9600,184,183
2007/11/30/morning,130.8018358,7200,55,130
2007/11/30/afternoon,60.97454936,9600,157,184
2007/12/03/morning,Inf,7200,0,76
2007/12/03/afternoon,155.6068119,9600,61,103
2007/12/04/morning,Inf,7200,0,64
2007/12/04/afternoon,Inf,9600,0,97
2007/12/05/morning,98.91236596,7200,72,74
2007/12/05/afternoon,Inf,9600,0,120
2007/12/06/morning,73.96941103,7140,96,95
2007/12/06/afternoon,Inf,9600,0,118
2007/12/07/morning,80.77922766,7170,88,71
2007/12/07/afternoon,Inf,9600,0,152
2007/12/10/morning,Inf,7200,0,87
2007/12/10/afternoon,Inf,9600,0,161
2007/12/11/morning,129.374883,7165,55,81
2007/12/11/afternoon,194.0731473,9600,49,135
2007/12/12/morning,72.1072865,7080,98,113
2007/12/12/afternoon,Inf,9600,0,206
2007/12/13/morning,107.6848978,7170,66,165
2007/12/13/afternoon,Inf,9600,0,296
2007/12/14/morning,42.07623003,7186,170,262
2007/12/14/afternoon,24.07923765,9600,398,439
2007/12/17/morning,61.65611166,7170,116,145
2007/12/17/afternoon,7093.309697,9571,1,253
2007/12/18/morning,35.48619116,7170,202,195
2007/12/18/afternoon,36.94317457,9571,259,356
2007/12/19/morning,63.60484616,7200,113,157
2007/12/19/afternoon,109.5693036,9600,87,185
2007/12/20/morning,74.42646154,7170,96,135
2007/12/20/afternoon,86.16298754,9600,111,214
2007/12/21/morning,64.21789913,7200,112,207
2007/12/21/afternoon,45.45029368,9600,211,234
2007/12/25/morning,38.3740718,7111,185,123
2007/12/25/afternoon,Inf,9600,0,64
2007/12/26/morning,130.2069047,7200,55,61
2007/12/26/afternoon,Inf,9600,0,67
2007/12/27/morning,Inf,7200,0,53
2007/12/27/afternoon,131.6798725,9600,72,106
2007/12/28/morning,Inf,7740,0,180
