"","Averege.Pieces.of.One.Market.Buy.Order","Averege.Pieces.of.One.Market.sell.Order","Averege.Pieces.of.One.limit.Buy.Order","Averege.Pieces.of.One.limit.sell.Order","r^U_B","r^U_A","r^D_B","r^D_A","lambda_B","lambda_A","mu_A","mu_B"
"2007/03/27/morning",9.21070878274268,8.68109339407745,6.52001053185887,6.0736690647482,27.2087912087912,379.10989010989,441.273684210526,33.6736842105263,0.345231455660904,0.29419966536531,0.444366982710541,0.317902955939766
"2007/03/27/afternoon",11.3670428893905,10.7585499316005,7.83398392652124,7.51503675651593,27.2087912087912,379.10989010989,441.273684210526,33.6736842105263,0.3553125,0.351354166666667,0.383541666666667,0.478645833333333
"2007/03/28/morning",8.04081632653061,9.18921568627451,7.02188121625462,7.04966571155683,28.2797202797203,335.916083916084,397.064935064935,26.5779220779221,0.343194444444444,0.3075,0.347777777777778,0.392638888888889
"2007/03/28/afternoon",11.0436331255565,11.2468085106383,8.76335059832113,8.8551637279597,28.2797202797203,335.916083916084,397.064935064935,26.5779220779221,0.511041666666667,0.512604166666667,0.566458333333333,0.661458333333333
"2007/03/29/morning",9.31460213289582,9.55244479495268,7.43296165352189,7.80782217220034,34.8360655737705,315.647540983607,320.974358974359,32.991452991453,0.381171548117155,0.386889818688982,0.457880055788006,0.490516039051604
"2007/03/29/afternoon",10.4256365740741,10.8460534898891,8.84862385321101,8.64952178533475,34.8360655737705,315.647540983607,320.974358974359,32.991452991453,0.463531870428422,0.425182863113898,0.531347962382445,0.508359456635319
"2007/03/30/morning",10.1116236162362,8.46890380313199,7.24947209653092,7.2430387409201,34.2236842105263,336.618421052632,365.625,29.4125,0.33375,0.332361111111111,0.430277777777778,0.39
"2007/03/30/afternoon",9.73658051689861,12.2445278298937,7.41257934218119,7.33185980423113,34.2236842105263,336.618421052632,365.625,29.4125,0.267604166666667,0.241875,0.2975,0.310208333333333
"2007/04/02/morning",11.6670637284098,8.35717326521924,7.51217339667458,7.34320402724312,26.5769230769231,346.476923076923,422.260606060606,40.8181818181818,0.351388888888889,0.344305555555556,0.4075,0.410694444444444
"2007/04/02/afternoon",10.8463986115129,13.2451440053583,9.83141691394659,10.8392857142857,26.5769230769231,346.476923076923,422.260606060606,40.8181818181818,0.5521875,0.670208333333333,0.636354166666667,0.8603125
"2007/04/03/morning",9.24977334542158,8.6903052064632,7.87389770723104,7.16959553695955,34.88,421.266666666667,365.205882352941,40.9705882352941,0.37350069735007,0.358437935843794,0.447140864714086,0.431380753138075
"2007/04/03/afternoon",10.7822850762933,10.5395439107229,8.03206854345165,8.11816958277254,34.88,421.266666666667,365.205882352941,40.9705882352941,0.341770833333333,0.3140625,0.4265625,0.3596875
"2007/04/04/morning",11.5989956958393,10.3942093541203,9.00179303278689,7.87490561288699,30.3114754098361,416.655737704918,394.7,29.4166666666667,0.492156862745098,0.438095238095238,0.601120448179272,0.520448179271709
"2007/04/04/afternoon",10.1981042654028,11.8993197278912,7.8402278177458,8.3514631043257,30.3114754098361,416.655737704918,394.7,29.4166666666667,0.272395833333333,0.2734375,0.334375,0.298229166666667
"2007/04/05/morning",9.86905790838375,11.24298160697,8.27457733249843,8.348802837718,29.3157894736842,382.789473684211,402.849056603774,30.9056603773585,0.366944444444444,0.392222222222222,0.464166666666667,0.46125
"2007/04/05/afternoon",11.9186767746382,11.8268467037331,7.52780620948482,7.07025065963061,29.3157894736842,382.789473684211,402.849056603774,30.9056603773585,0.229791666666667,0.223229166666667,0.279479166666667,0.247916666666667
"2007/04/06/morning",10.7125658389767,7.96147186147186,6.61172529313233,5.82650739476678,25,515.969696969697,396.028571428571,26.2857142857143,0.274027777777778,0.284444444444444,0.325416666666667,0.37125
"2007/04/06/afternoon",10.7172167707404,8.02863602110023,6.93356918238994,6.50291715285881,25,515.969696969697,396.028571428571,26.2857142857143,0.183645833333333,0.1740625,0.216458333333333,0.185729166666667
"2007/04/09/morning",12.4190012180268,11.524893314367,10.3777274015302,8.93461428161744,41.8636363636364,587.068181818182,446.130434782609,23.3913043478261,0.510739191073919,0.434449093444909,0.596513249651325,0.546582984658298
"2007/04/09/afternoon",12.0997830802603,11.394422310757,7.43645655877342,8.65399080651901,41.8636363636364,587.068181818182,446.130434782609,23.3913043478261,0.227291666666667,0.215625,0.251354166666667,0.2503125
